model_class,horizon_q,rmse,mae,bias
ARIMAX-GARCH,14,58.57409112035862,48.95020074218837,20.12992694163672
ARIMAX-GARCH,15,61.85315046856188,51.59055069569067,19.091379129129855
ARIMAX-GARCH,16,65.18552003636735,54.06244121895681,20.348266703491152
ARIMAX-GARCH,17,70.73232857215953,57.8959265440541,21.96017318041881
ARIMAX-GARCH,18,75.7593569808201,62.159486883496086,21.151094808204494
ARIMAX-GARCH,19,77.23300849688238,63.709618909088405,19.14669305119428
ARIMAX-GARCH,20,79.98743844889226,65.88667601986086,19.74746642781539
ARIMAX-GARCH,21,84.9856322451896,69.58944942484787,20.683720582965385
ARIMAX-GARCH,22,89.01486935584167,73.57455207026055,19.246076973718495
ARIMAX-GARCH,23,90.5432396188339,75.80393110504306,16.899239659655063
ARIMAX-GARCH,24,93.12446537862458,78.35739464695004,16.37166056962093
ARIMAX-GARCH,25,96.74622815853807,81.72658249307075,15.21440938000536
ARIMAX-GARCH,26,101.12903118320142,86.44113250612229,10.799202368236081
ARIMAX-GARCH,27,105.13313037027665,90.72291510902929,5.830141984927235
ARIMAX-GARCH,28,109.65275424916454,94.72296711951317,3.4426618835099703
ARIMAX-GARCH,29,114.48505911016485,99.20049995700113,-0.5197908082937431
ARIMAX-GARCH,30,123.7963792614062,106.79602606610267,-9.380613135137196
ARIMAX-GARCH,31,128.58480363382623,111.22557324431189,-14.918319436797741
ARIMAX-GARCH,32,131.39265669139235,114.21940401218744,-16.950312780657498
ARIMAX-GARCH,33,136.12951448828716,118.9069154290305,-20.799552082547535
ARIMAX-GARCH,34,146.3646742792249,126.72607341857784,-30.822069192141157
ARIMAX-GARCH,35,152.39379728545896,131.91481785979778,-37.3529855546079
ARIMAX-GARCH,36,154.70764223779125,134.67367410452135,-39.245460069415806
ARIMAX-GARCH,37,159.51078880338738,138.9896853816212,-43.56051382266796
ARIMAX-GARCH,38,171.19468504400143,148.21235365022994,-55.49501334838794
ARIMAX-GARCH,39,176.78746977458636,153.16825524384492,-61.79511679325983
ARIMAX-GARCH,40,178.9220447390336,156.01070099790869,-63.84611808215243
